ahead of ～,（時間的に）～より先に、（位置的に）～の前に、～より進歩して,phrase
in search of ～,～を求めて［探して］,phrase
in preparation,～の準備中で,phrase
each other,お互い,phrase
so ～ that …,（結果を表して）非常に～なので…する,phrase
A as well as B,BだけでなくAも,phrase
not only A but (also) B,AだけでなくBも,phrase
as if/though …,まるで…するように,phrase
as soon as …,…するやいなや,phrase
Something is wrong with ～.,～はどこか調子がおかしい［故障している］,phrase
bring up ～,①～を育てる②（問題・話題など）を持ち出す,phrase
call off ～,～を中止する［取り消す］,phrase
carry on (～),（～を）続ける,phrase
come about,起こる,phrase
come by ～,～を手に入れる,phrase
come up with ～,（解決策など）を思いつく,phrase
do away with ～,～を取り除く、～を廃止する,phrase
find fault with ～,～にけちをつける、～を非難する,phrase
get over ～,を克服する、（病気など）から回復する,phrase
hand in ～,（手渡しで）～を提出する［届ける］,phrase
learn ～ by heart,～を暗記する,phrase
look into ～,～を調べる,phrase
look over ～,～を（ざっと）調べる,phrase
pass away,死ぬ,phrase
put off ～,～を延期する,phrase
put together ～,（部品など）を組み立てる、（考えなど）をまとめる,phrase
put up ～,①～を掲げる、～を上げる、～を建てる②～を泊める,phrase
put up with ～,～を我慢する,phrase
set about ～,～を始める,phrase
set in,始まる,phrase
take after ～,～に似ている,phrase
of importance,重要な,phrase
along with ～,～と一緒に、～に加えて,phrase
in connection with ～,～に関連して,phrase
on board (～),（乗り物）に乗って、乗って（た）,phrase
prior to ～,～より前で,phrase
once in a while,ときどき,phrase
above all (else),とりわけ、特に,phrase
all of a sudden,突然に、不意に,phrase
the same,それでもやはり,phrase
as a rule,普通は、概して,phrase
as well,～もまた,phrase
before long,間もなく,phrase
by degrees,徐々に,phrase
for good,永久に,phrase
for the most part,大体は、大部分は,phrase
from time to time,ときどき,phrase
in advance,前もって,phrase
in all,全部で,phrase
in particular,特に,phrase
on occasion(s),ときどき,phrase
on purpose,わざと、故意に,phrase
over and over (again),何度も繰り返し,phrase
right away,今すぐ、直ちに,phrase
agree to ～,（提案・計画・条件など）に同意する,phrase
agree with ～,（人が）（人・考えなど）に同意する、（気候・食物などが）～に合う、～に一致［適合］する,phrase
apply for ～,（仕事・許可など）を申し込む［志願する］,phrase
apply to ～,①～に当てはまる ②（人・場所・組織）に申し込む,phrase
remember doing,…したのを覚えている,phrase
remember to do,忘れずに…する,phrase
catch up with/to ～,（遅れた状態から）～に追いつく,phrase
keep pace with ～,～に遅れずについていく,phrase
keep up with ～,～に遅れずについていく,phrase
leave ～ alone,～をそのままにしておく、～に干渉しない,phrase
let alone ～,～は言うまでもなく,phrase
correspond to ～,～に一致する、～に相当する,phrase
correspond with ～,～とやりとりを交わす、～と文通する,phrase
hit on/upon ～,～を思いつく、～に出くわす,phrase
occur to ～,ふと（人）の心に浮かぶ,phrase
dawn on ～,（考えなどが）（人）にわかり始める［思い浮かぶ］,phrase
make the best of ～,（不利な状況で）～を最大限に利用する［善処する］,phrase
make the most of ～,～を最大限に利用する,phrase
lay off ～,～を一時解雇する,phrase
lay out ～,～を並べる、～を設計する,phrase
